assureur,resume_en
Direct Assurance,I am satisfied with the services fast enough to complete the file which in my opinion is simple to fill the prices are attractive compared to what I pay each month for my car insurance not easy to have an online advisor on the site often no agent on the phone for home liability insurance c complicated to download this certificate is not available the rate is interesting but a little expensive I hope later get a better rate thereafter fast and efficient prices his machine gun.
L'olivier Assurance,olive insurance is a good welcome to all my relatives but remains a little expensive staff super nice on the phone thanks for the services that offer you distinguished greetings do hoof fast effective thank you a lot of friendly person on the telephone the fact to be insuring quickly without moving is particularly interesting I am surprised the advantage of the online insurance simple use satisfied with the prices among the lowest of the market prices differ according to the different simulations not tested the customer service.
Matmut,years has the asset and for what hello frankly do not assure you at asset no service his fact years that I am at home no problem with my car zero home worries it my never makes a commercial gesture level zero reception on ways a coldness I have never seen his world turn towards us are customer it speaks to you badly I am on ways on pain I have not understood years of seniority it my treat like a dead rat I am not there to do advertising but now I will make sure at but if want to contact me all no worries
Néoliane Santé,kine c is by far the worst mutual that I know I find nothing positive very bad mutual to escape absolutely always a problem to get reimbursed I have just been denied the reimbursement of the paying third party for visits of rheumatologists. dora is ineligible impatient to see the end of the contract to move me towards a mutual worthy of this name very good interlocutor.
APRIL,new customer satisfied with the price and the services I will not give any more reviews because I am new customer at you I hope everything will go well thanks Exorbitant tariffs lack communication on case implementation and impact on refunds April health does nothing to help terminate their contract. rely on a very long reaction time in case of easy need to adhere to it difficult to leave very dissatisfied not satisfied I have asked for a levy all and has found that I will be taken on November and December I have contacted the
SantéVet,dogs insured for several years argentian dope of years and a whippet of years. otites skin problems removal left eye currently loss of right eye with no doubt a removal next I have a contract that reimburses me to I have never had problems of refunding delay typer fast whippets other contract vaccine package respected before healthvet.
Mercer,mutual zero unfortunately no choice because it is that of my work more than a month to respond to e-mails and reimbursements do not talk about it service deplorable almost non-existent one can only reach them rarely repaymen.
Generali,general practitioner expert has reviewed my disability against saying a decision of the clam so no worries I have all my time I have good legal insurance and an excellent lawyer to present to them beware of the false argument of the advisor gaiteur generali who forced me to open two contracts last year has presented the products as super livret to these are stock investments.
Allianz,allying is also the insurer of the big sign but it's the victims who pay the bribes the insurers are not philanthropists. the insurance allianz has relaunched the company several times without success avoiding the termination and still continues to charge me.
APRIL Moto,price correct insurance online easy now stay to see how this goes in case of disaster here the file is treated cordially mr thuveny subscription very fast the information is succinct but clear answer from an effective advisor in the minutes that followed my quote I was able to subscribe for immediate take effect I am satisfied with your rates. I strongly advise second insurance and super content of their service one of the best perfect the site is really very good thank you.
Cegema Assurances,hospital care requested on April for an urgent operation of April is still not taken care of today. it is impossible to reach them very disappointed with the repayment periods months for acts of kinestheratism I have been waiting since the beginning of April for the answer about an optical estimate of the repayment period for my new glasses.
LCL,if we don't need anything then you can contact them condescendence and contempt are on the rendezvous with some of their so-called counselors not to take the literal meaning of the word to avoid.
Afer,after the death of my grandmother the hell sent us the file within the month in order to settle the sums we took months to get the notary's act of notoriety. we sent it right away because we already had the file the afer settled the sum in weeks nothing to say contrary to cardif Hello. the iron estate service did not respond to the demands of no more interest was received on.
Pacifica,two breezes cracked causes by a vehicle that doubles me and casts a gravel on my breeze I am absolutely not responsible for these two claims fault has no chance the same disaster same vehicle in the month I inquired from another insurance that told me that not being responsible it did not take into account these claims. the problem is still not solved more the rates are higher than high important water damage March expertise and against expertise in my favor still not reimbursed it will be years it part to you.
SwissLife,the am reading doesn't make profit it makes card advertising with the money of its members run away your capital is in danger the advisors are only predators having only one logic their my mom died the we are the and the file is still in the process of processing we are asked and ask for documents already sent and well received proof by but back then it has been more than a year that I fight with you.
MAAF,robadores in spite of a bonus for life receiving a mail modifying to the increase the franchise unilaterally if not accepting cancellation. they have not done anything at all not to follow up any appeal in years I am still in legal proceedings with the condominium they no longer want to assure me now.
Solly Azar,mediocrity to avoid at all costs c is a veritable trap this insurance is one more way to take out money to the owners concerned about the health of their companions. they are unable to receive documents via internal and refund you not what they say in the terms of their contract example I made castrate my dog with a contract or care less a deductible of and of course euros they have fendillally granted me euros.
GMF,disabled son got stolen his car a year ago she refuses me to compensate him despite the guarantee against the shameful theft scandalous pub tv. sinister untreated door broken after break-in after two and a half months no processing mail from the me even after my restart proposal after the passage of an expert to drop the door for a day to repair it in workshop without replacing it with an outside temperature.
AMV,cerveira crm is a motorcycle school safety improvement course. a certificate issued allows a discount on insurance with the mutual of the bikers when it is for amv then I claim to something you have considered this case insurance that perfectly meets the requirements of its customers. the answers are very clear fast by phone or by but the simplicity of the internal site is very well thank you.
CNP Assurances,contract holder pension savings plan has made a request for total redemption since last month. the documents have been sent and received no answers from them to the different but I am still waiting for their payment so my money for me personally had the intelligence to take insurance through my job at q ua or this is if problem holding that insurance act foresight does not fit into my file for lack of pay then pay attention his fact years that I pay insurance for absolutely nothing at all well read the contract of a z believing me well
MAIF,an expert has since passed more news very bad case management follow-up I keep re-launching them on the phone by but ensure in contract goes the more years where then we walk yesterday morning a spring of suspension made the soul on the vehicle of my wife broken net the vehicle being still rolling we brought it to the garage by our own means very stressed because of a very important pre my wife wondered how to be at the hour to the said rdv.
Sogecap,sogecap does not reimburse my dad's loans because being years he did not even spend it in disability they put it directly to retirement for incapacity to work so no refund because it is neither in disability nor in stoppage of work pay attention to signed contracts. if someone can help me I thank you in advance very very bad neighborhood credit insurance he always asks me for pieces limit impossible to have.
Harmonie Mutuelle,after a very important change of view I ask if there will be any support given the fact that I have changed my glasses for less than a month after no answer if not one but a phone call to tell me that my request has been received my classic attitude in this type of insurance banking structures etc a advice for young people who start their professional career not to join a health mutual but to place each month the amount of the contribution in a special account you will find that it is very quickly a large sum that will allow you
Mutuelle des Motards,qd the people are well we have to say it and we say too bad things that the good I recommend deplorable customer service real insurer motorcycle risk specialist good price-quality ratio of guarantees present in none of the competitors very satisfied for my part sinister.
MACIF,for years the but has cashed the insurance premiums without ever having to compensate me. when we really need them we can know if an insurance is useful but no sinisterity for years for my part vis à vis de but years of fidelity without any problem.
Eurofil,the method is scandalous insurance to escape Hello insured for years without accident we had a third-party accident with a Euro-wire vehicle was very responsive support and immediate expertise the € franchise offered and no malus applied bravo.
Active Assurances,an insurance contract on the site settled the deposit requested more days ago. there interstellar silence no but to provide a file number no telephone contact no possibility to consult the progress of the file impossible to have a manager without going through a supertaxed number insurance to escape. an expert passed mid August for an expert conservatory repair higher than the price of my car that always runs a rear light and the rear bumper to change a week after a breaker phone me to tell me I come to pick up your car
AXA,insurance at axa is too expensive no recognition of its loyal customers we have almost all our insurances. we are taxed even if no disaster occurred in the year with my companion and our children we have never had a disaster and this for decades this day I communicate to them that my TV inches who has years to start smoking I have to make a repair quote problem not able to transport my TV I am partially reimbursed with a franchise of euros commercial gesture.
Sogessur,the worst insurance in the world I see that they are not always so bad in their handling of incidents and other as warranty customer management and satisfactions and in prices because it is always too expensive for their warranty and their customer management. a customer sogessur who had the same misadventure as we after the weather of may in essonne despite the decree of natural disaster that was published for this department insurance does not want to take over the repairs of our roof.
Ag2r La Mondiale,my application for portability is still not processed while I have sent all the documents requested days after my dismissal. my husband is in and since April we have sent the documents through the site and to this day your nothing we live in euros every day of the ss when I call them the same answer we have made the info back to the management department we are in a critical financial situation but nothing to fuck she tells me.
Mgen,mutual iota is a very expensive mutual if we don't have any problem so everything goes very well the dues are expensive and inadequate repayments insufficient mine does not adapt to the new practices of the patients dared very little reimbursed soft medicine the void no possibility of having an interlocutor and a direct line c is very well noted while on an independent site it is very badly rated the other great signs have their local agencies and their advisers accessible to mine one does not feel client abuse of
Zen'Up,a very good level of advice a quality of the relationship by phone excellent an exceptional speed of implementation I highly recommend I am very satisfied with the service and the phone reception even times do not answer right away they will call you just after very correct price I strongly advise you cordially Islam benmoussa satisfied with contact of the interlocutor. the price is very interesting flexibility on the date of adhesion site very easy to use very satisfied adapted quote offered very quickly complete information very good follow-up all validations
MGP,I have been a member of the mg for years and active police officer I am not satisfied with the mg and the lack of clarity regarding the levies and refunds I have made several claims on the web the question is marked as treated but I have no answer the counsellors over the phone do not know anything one counselor asked me to call back.
Intériale,police officer in disability for more than a year opted for the guarantee of maintenance of wages and bonuses. was surprised by the quality of care of the coup I recommend to all intercale announces a response to complaints in open days without response from the mutual since last October Indemnities paid very late or at the beginning of the following month for the maintenance of salary phone calls do not serve for nothing staff is unprofessional.
Génération,the generation advisor is currently looking after me jersey. he is a lenient mutual for his part they reimburse me super quickly and very well. the advisers his always kind and listening they respond very quickly and the information is processed quickly for a first call with customer service.
Cardif,my spouse signed up at late on the phone c is all the months taken but we don't know who of what because we've never received anything paper we hope to have a little help to know why we give per month problem currently late in the course of a life insurance buyback settlement. my interlocutor of the day finds him not trace of my sending than to think of how the files are processed in this company the people of the platform that I have had online have shown themselves incompetent to take over 
Santiane,the acpr lol lama was able to respond effectively to my request to transmit a support request that I couldn't do on the site very listening. khalid has offered all the explanations on the various proposals of formulas for the mutual of my son each time the choice has given full satisfaction experience of quality.
Eca Assurances,a company like this does not honor a gesture that did not cost him much what it represents for them really deplorable I absolutely do not recommend this insurance I subscribe to the insurance per intern that following this a recommendation me call to confirm the information that I had provided and tell me that at the end of my contract I have the last two months offered arrives the end. the commercial me called so I is not the offer via internet subscription that more have my dog c is made operated from a pathology not taken care of but the
Groupama,groupa have made the buy-back of the group amaguiz j was one of the customers. the price increase has not stopped to climb on years maybe more.
Assur O'Poil,assurropoil blablabla is a benevolence insurance that is not refunded. the insurances are not at all serious they tell you that your cat is insured for the month of October. thames a shame this assurance the commercials make you believe things while it's part of the exclusions they rush you so.
MMA,No reviews available
MetLife,customer service complicated request of return of police made now months after a month without any news. after having sent the documents no new no acknowledgement of receipt the first time they told me that my documents were a priori well received that I should receive a mail. the mail not arriving I make repeated calls of restart every weeks and there I am announced two months of delay for finally at the end of month.
Crédit Mutuel,the disaster has and declare January still no heating with two children at home and between expert and insurance it refers the record insurance to escape contact unreachable after a flight in a house acm does not want to know yet that documents provided by such no refund for the flight a tip forgets this insurance since march following a storm.
Afi Esca,a very interesting quote for my placement pension insurance compared to my bank I received my contract quickly which allowed me to conclude my real estate project in time very good reception as there is no telephone platform we can reach them easily they have answered all my questions and expectations being novice in this field.
Gan,an foresight is an insurance that has taken advantage of the coronaires to impose deadlines of non response I am in disability this and they have made me a payment on an account closing since days while I told them and wrote provided my new rib the payment of euros around is return to their issuing bank. since impossible to recover this money bad faith and multiple pretexts to save time thank you to join me I will create an association wanting to go to court to assert the rights of the insured.
Magnolia,broker told us to have done the necessary but a week after nothing to report so this service is opportunistic. he told us that we would receive a code under h that we never received we re-launched.
Suravenir,No reviews available
Assur Bon Plan,assurbonplan refuses to give me my statement of information this situation is absolutely unacceptable I am at the edge of the abyss because of them you realize that I am unable to go to my place of work because they do not want to provide me my statements of information. tries to have them for months nothing to do service either saying poor quality can hang you up in the nose impossible to reach a real advisor for information about your contract.
AssurOnline,the only solution is a complaint for the theft of cheque. a cheque sent by mistake falls under their hands. the cheque is cashed by another company.
Carac,carat c is a not-for-profit institution that really places its members in the court of decisions the investments are reflected and with good efficiency the digital space allows to do a lot of things online. the advisors are also very available and listening member of the carat since under the number our father had constituted with the vehicle a reserved capital which was to return to his two children when he died in June in his th year.
Mapa,No reviews available
Malakoff Humanis,I have been invalidating since but to this day I pay my salary supplement from June to August. I have a loss of salary of euro all the months have called them the only thing that you say I go up these inadmissible it takes them more than a month and less to study salary bulletin to do really. despite my many revivals you even closed the claim that I made on your site without any explanation.
Euro-Assurance,a service cheap but deplorable euro insurance calls you many times no written exchange so no proof of the exchanges it has been year that I try to terminate without success it also increased my rate per month without reason and without warning It's a pity that I'm forced to keep my life to a minimum that it deserves my new insurance to send a request for termination in February to euro insurance to this day the contract is still running. when I call to know why the advisor tells me the date is not good
Peyrac Assurances,to escape absolutely their insurance all risks is not a flight suffered on my new scooter not guaranteed they waste their time on people in short I look forward to cancel abusive termination for missing parts year after subscription service customer worth demanded j. if you are overwhelmed or abroad you will be terminated in case of missing part impossible to find a correct insurance after registration will act by peyrac to flee pay a little more and take a real insurance.
Sma,the insurance does not want to take over the disaster under almost that the term strain to Italian is not in the estimate c is a shame.
Hiscox,No reviews available
